POA_CODE,strokes
POA3912,44.94
POA3913,9.1
POA3915,36.57
POA3916,5.98
POA3918,10.09
POA3919,7.12
POA3920,0.19
POA3921,0.4
POA3922,41.0
POA3923,2.62
POA3925,13.95
POA3926,13.68
POA3927,7.32
POA3928,1.82
POA3929,5.14
POA3930,66.43
POA3931,125.2
POA3933,3.26
POA3934,70.88
POA3936,55.66
POA3937,5.75
POA3938,14.42
POA3939,79.47
POA3940,48.79
POA3941,52.34
POA3942,13.91
POA3943,13.1
POA3944,4.43
POA3945,3.4
POA3946,1.12
POA3950,21.52
POA3951,3.18
POA3953,32.35
POA3954,1.24
POA3956,11.67
POA3957,0.63
POA3958,0.9
POA3959,5.06
POA3960,15.44
POA3962,4.11
POA3964,0.53
POA3965,1.56
POA3966,1.81
POA3967,0.43
POA3971,20.44
POA3975,22.29
POA3976,43.94
POA3977,172.05
POA3978,12.72
POA3979,0.81
POA3980,8.27
POA3981,14.91
POA3984,20.86
POA3987,3.66
POA3988,3.3
POA3990,0.31
POA3991,1.19
POA3992,2.7
POA3995,50.3
POA3996,30.27
